codiv_taxa	codiv_clade	codiv_lineage	hostSpecies
Bonobo6757245 Bt2_clade1_bonobo	Bt2_clade1_bonobo	Bt2	bonobo
Bonobo3793226 Bt2_clade1_bonobo	Bt2_clade1_bonobo	Bt2	bonobo
Bonobo2366405 Bt2_clade1_bonobo	Bt2_clade1_bonobo	Bt2	bonobo
Bonobo3371043 Bt2_clade1_bonobo	Bt2_clade1_bonobo	Bt2	bonobo
Bonobo2166737 Bt2_clade1_bonobo	Bt2_clade1_bonobo	Bt2	bonobo
Bonobo7084162 Bt2_clade1_bonobo	Bt2_clade1_bonobo	Bt2	bonobo
Bonobo229241 Bt2_clade1_bonobo	Bt2_clade1_bonobo	Bt2	bonobo
Bonobo229236 Bt2_clade1_bonobo	Bt2_clade1_bonobo	Bt2	bonobo
Bonobo781247 Bt2_clade1_bonobo	Bt2_clade1_bonobo	Bt2	bonobo
Bonobo1624513 Bt2_clade1_bonobo	Bt2_clade1_bonobo	Bt2	bonobo
Bonobo9375067 Bt2_clade1_bonobo	Bt2_clade1_bonobo	Bt2	bonobo
Bonobo10352189 Bt2_clade1_bonobo	Bt2_clade1_bonobo	Bt2	bonobo
Bonobo6932003 Bt2_clade1_bonobo	Bt2_clade1_bonobo	Bt2	bonobo
Bonobo5731561 Bt2_clade1_bonobo	Bt2_clade1_bonobo	Bt2	bonobo
Bonobo1078 Bt2_clade1_bonobo	Bt2_clade1_bonobo	Bt2	bonobo
Bonobo972742 Bt2_clade1_bonobo	Bt2_clade1_bonobo	Bt2	bonobo
Bonobo5596313 Bt2_clade1_bonobo	Bt2_clade1_bonobo	Bt2	bonobo
Bonobo9728 Bt2_clade1_bonobo	Bt2_clade1_bonobo	Bt2	bonobo
Bonobo4886707 Bt2_clade1_bonobo	Bt2_clade1_bonobo	Bt2	bonobo
Bonobo12102095 Bt2_clade1_bonobo	Bt2_clade1_bonobo	Bt2	bonobo
Bonobo9719 Bt2_clade1_bonobo	Bt2_clade1_bonobo	Bt2	bonobo
Bonobo3176696 Bt2_clade1_bonobo	Bt2_clade1_bonobo	Bt2	bonobo
Bonobo10034489 Bt2_clade1_bonobo	Bt2_clade1_bonobo	Bt2	bonobo
Bonobo4632659 Bt2_clade1_bonobo	Bt2_clade1_bonobo	Bt2	bonobo
Bonobo4632650 Bt2_clade1_bonobo	Bt2_clade1_bonobo	Bt2	bonobo
Bonobo5991239 Bt2_clade1_bonobo	Bt2_clade1_bonobo	Bt2	bonobo
Bonobo4469078 Bt2_clade1_bonobo	Bt2_clade1_bonobo	Bt2	bonobo
Bonobo10609639 Bt2_clade1_bonobo	Bt2_clade1_bonobo	Bt2	bonobo
Bonobo10057151 Bt2_clade1_bonobo	Bt2_clade1_bonobo	Bt2	bonobo
Bonobo10520847 Bt2_clade1_bonobo	Bt2_clade1_bonobo	Bt2	bonobo
