SampleID	dataset	Description_country_zoo	captivity_status	Description	Observed	Chao1	se.chao1	ACE	se.ACE	Shannon	Simpson	InvSimpson	PD	SR
nw.hum.Thai.TCS058.16s	vangay_2018	non_industrialized_human_Thailand	non-industrialized human	non_industrialized_human	140	140	0	140	5.26172160853406	3.93131201439784	0.962836697415013	26.9082651552068	15.758799209	140
nw.hum.Thai.TCS062.16s	vangay_2018	non_industrialized_human_Thailand	non-industrialized human	non_industrialized_human	136	136.333333333333	0.925513808494257	136.414542186114	4.89805599903669	3.88592254789203	0.948580228753212	19.4477722431033	15.151476743	136
nw.hum.Thai.TCS066.16s	vangay_2018	non_industrialized_human_Thailand	non-industrialized human	non_industrialized_human	147	148	2.33943860209516	147.336027950121	5.35823993050321	4.08445243877831	0.966416635465056	29.7766472730713	17.822276365	147
nw.hum.Thai.TCS072.16s	vangay_2018	non_industrialized_human_Thailand	non-industrialized human	non_industrialized_human	154	155.5	2.59529006984264	154.849682689711	4.51084130907258	4.28007925163726	0.974031628822568	38.5083836474525	17.117274183	154
nw.hum.Thai.TCS074.16s	vangay_2018	non_industrialized_human_Thailand	non-industrialized human	non_industrialized_human	153	153.333333333333	0.925600586965846	153.47626025321	5.40176744979846	3.96291107896856	0.960460953560407	25.2914546517397	15.966898676	153
nw.hum.Thai.TCS076.16s	vangay_2018	non_industrialized_human_Thailand	non-industrialized human	non_industrialized_human	152	152	0	152	5.29088093351491	4.31305313951962	0.980144020386711	50.3626625065003	16.251271047	152
nw.hum.Thai.TCS079.16s	vangay_2018	non_industrialized_human_Thailand	non-industrialized human	non_industrialized_human	92	93.5	2.59344092450108	93.1267532467532	3.46459575330243	3.77370350043747	0.965704353129054	29.1582195187334	10.362008697	92
nw.hum.Thai.TCS080.16s	vangay_2018	non_industrialized_human_Thailand	non-industrialized human	non_industrialized_human	103	103	0	103	3.2560623070778	3.80946402816083	0.960748439932703	25.4766943857899	11.378299562	103
nw.hum.Thai.TCS082.16s	vangay_2018	non_industrialized_human_Thailand	non-industrialized human	non_industrialized_human	119	119	0.124473681872883	119.213384151749	4.90731495340771	3.68724693173555	0.949582658269211	19.8344451664993	15.531954532	119
nw.hum.Thai.TCS085.16s	vangay_2018	non_industrialized_human_Thailand	non-industrialized human	non_industrialized_human	143	153	10.4989884355558	144.222487610002	5.48547513219063	3.91658380262026	0.959443015904005	24.6566657331592	14.291050952	143
nw.hum.Thai.TFS020.16s	vangay_2018	non_industrialized_human_Thailand	non-industrialized human	non_industrialized_human	160	160.166666666667	0.543404668032538	160.387806411062	5.57236524378676	4.29562830136361	0.977935331570793	45.3213245967615	17.938821122	160
nw.hum.Thai.TFS024.16s	vangay_2018	non_industrialized_human_Thailand	non-industrialized human	non_industrialized_human	126	126	0	126	4.40778532015472	3.98242881295124	0.965439424051891	28.9347029835799	12.794764498	126
nw.hum.Thai.TFS026.16s	vangay_2018	non_industrialized_human_Thailand	non-industrialized human	non_industrialized_human	120	120	0.248956154104828	120.2105	3.88826819632507	3.91734725220307	0.958566041485407	24.1347927123065	12.507100141	120
nw.hum.Thai.TFS028.16s	vangay_2018	non_industrialized_human_Thailand	non-industrialized human	non_industrialized_human	131	131	0.083014657851195	131.269819684448	5.26035290283004	4.03903049890521	0.972954319412252	36.9744808881984	16.431017408	131
nw.hu.HADZA.329.16s	smits_2017	non_industrialized_human_Tanzania	non-industrialized human	non_industrialized_human	143	143.5	1.02702544374438	143.892301451928	5.5636862740207	3.59376819940168	0.934007302686018	15.1531918030592	18.37723197	143
nw.hu.HADZA.283.16s	smits_2017	non_industrialized_human_Tanzania	non-industrialized human	non_industrialized_human	163	163.5	1.02707155393104	163.786192689983	5.89043644051157	3.47379491853963	0.90643563601485	10.6878298254528	19.109551508	163
nw.hu.HADZA.276.16s	smits_2017	non_industrialized_human_Tanzania	non-industrialized human	non_industrialized_human	167	169	2.88492875790695	167.977183371599	5.54511306119052	4.22243918938339	0.96981867667787	33.1330733688125	17.872456636	167
nw.hu.HADZA.392.16s	smits_2017	non_industrialized_human_Tanzania	non-industrialized human	non_industrialized_human	195	197	2.58570847638961	196.272018799667	6.68874361464052	3.99888667587113	0.955686511420584	22.5664923267744	22.545628948	195
nw.hu.HADZA.3128.16s	smits_2017	non_industrialized_human_Tanzania	non-industrialized human	non_industrialized_human	143	143	0.083041446855663	143.20240060432	5.25990475828497	3.79408648483672	0.955362985003688	22.4029317391097	19.232463663	143
nw.hu.HADZA.3124.16s	smits_2017	non_industrialized_human_Tanzania	non-industrialized human	non_industrialized_human	125	125	0	125	4.66133028222631	3.42675588281974	0.894552647535433	9.48340547797086	17.693857999	125
nw.hu.HADZA.436.16s	smits_2017	non_industrialized_human_Tanzania	non-industrialized human	non_industrialized_human	134	134.5	1.02700021939639	134.715787198778	5.55951271432714	3.52066673908304	0.940412462524311	16.7820326592282	16.146728727	134
nw.hu.HADZA.230.16s	smits_2017	non_industrialized_human_Tanzania	non-industrialized human	non_industrialized_human	186	186	0.083109017089753	186.16509920846	6.0303801656061	4.34802259646017	0.97475342255326	39.6093293084816	20.593620714	186
nw.hu.HADZA.883.16s	smits_2017	non_industrialized_human_Tanzania	non-industrialized human	non_industrialized_human	123	123	0	123	4.81528730917675	3.08622951361832	0.827082308392855	5.78309825157693	17.932762119	123
